content_id,content_type,name,chapter,owner,work_item,dependencies,first_available_after,description,design_status,runtime_status,art_status,audio_status,test_status,evidence,asset_key,localization_key,release_gate
S1-C01,character,游剑客,1,Character Loadout,ST-S03,S1-A01,START,移动后首轮飞剑获得穿透窗口；持续站桩不累积，偏中距游走,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-c01,content.s1-c01,R01
S1-A01,active,巡光飞剑,1,WeaponSystem,L14,,START,穿透直线；移动寻找贯穿角度,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a01,content.s1-a01,R01
S1-P01,passive,贯锋谱,1,SkillDraftSystem,L15,,START,穿透次数与命中衰减取舍,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p01,content.s1-p01,R01
S1-N01,normal_enemy,岚齿兽,1,EnemySystem,L09,,START,间歇加速追击,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n01,content.s1-n01,R01
S1-A02,active,折星短刃,1,WeaponSystem,L14,,START,回旋弹道；去程回程均可命中,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a02,content.s1-a02,R01
S1-P02,passive,归刃诀,1,SkillDraftSystem,L15,,START,回旋回收速度,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p02,content.s1-p02,R01
S1-N02,normal_enemy,刺蓬虫,1,EnemySystem,L09,,START,停步蓄势后散射短刺,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n02,content.s1-n02,R01
S1-A03,active,裂岩重印,1,WeaponSystem,L14,,START,延迟落点重击；逼迫提前预测,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a03,content.s1-a03,R01
S1-P03,passive,沉印法,1,SkillDraftSystem,L15,,START,延迟重击范围,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p03,content.s1-p03,R01
S1-N03,normal_enemy,盘枝蜥,1,EnemySystem,L09,,START,绕侧切入封锁退路,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n03,content.s1-n03,R01
S1-E01,elite,盘根猎首,1,Elite Enemies,L19,,START,折返冲锋后在根结处停顿,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-e01,content.s1-e01,R01
S1-B01,boss,伏岚古兽,1,BossStateMachine,L18,,S1-M01-07,追风扑袭与根区围堵,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-b01,content.s1-b01,R01
S1-M01-01,mission,风口初行,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-01;S1-O-SURVIVE,START,引导移动、自动攻击与首次升级,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-01,R01
S1-M01-02,mission,拆除根钉,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-01;S1-O-BREAK;S1-M01-01,S1-M01-01,三个根钉错位布置，迫使离开安全直线,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-02,R01
S1-M01-03,mission,护送采药人,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-01;S1-O-ESCORT;S1-M01-02,S1-M01-02,在风带间护送一名缓行目标,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-03,R01
S1-M01-04,mission,追踪断枝兽,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-01;S1-O-HUNT;S1-M01-03,S1-M01-03,沿可见足迹追猎，避免被引入根区,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-04,R01
S1-M01-05,mission,清理风井,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-02;S1-O-CLEANSE;S1-M01-04,S1-M01-04,两个净化区交替受压,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-05,R01
S1-M01-06,mission,守住归路,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-02;S1-O-SURVIVE;S1-M01-05,S1-M01-05,远程刺群与追击兽首次混编,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-06,R01
S1-M01-07,mission,拔除井心锁,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-02;S1-O-BREAK;S1-M01-06,S1-M01-06,三处锚点产生不同进攻角度,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-07,R01
S1-M01-08,mission,伏岚古兽,1,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S01-02;S1-O-BOSS;S1-M01-07;S1-B01,S1-M01-07,读取扑袭后摇并利用根区空隙,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m01-08,R01
S1-R02,region,赤窑,2,Stage & Map,L06,,S1-M01-08,喷口按预警轮替关闭通道,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-r02,content.s1-r02,R01
S1-S02-01,scene,流火矿脊,2,Stage & Map,L06,S1-R02,S1-M01-08,喷口按预警轮替关闭通道,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s02-01,content.s1-s02-01,R01
S1-S02-02,scene,熄炉深井,2,Stage & Map,L06,S1-R02,S1-M01-08,喷口按预警轮替关闭通道,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s02-02,content.s1-s02-02,R01
S1-CH02,chapter,第2章·赤窑,2,Campaign Flow,ST-S01,,S1-M01-08,停止失控冶炼，发现矿石被送往中央,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-ch02,R01
S1-C02,character,烬术师,2,Character Loadout,ST-S03,S1-A04,S1-M01-08,灼烧区接力延续火势；离开火区后重建慢，偏路线布局,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-c02,content.s1-c02,R01
S1-A04,active,流焰珠,2,WeaponSystem,L14,,S1-M01-08,抛物爆破与燃烧区,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a04,content.s1-a04,R01
S1-P04,passive,燃芯诀,2,SkillDraftSystem,L15,,S1-M01-08,持续灼烧时间,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p04,content.s1-p04,R01
S1-N04,normal_enemy,背炉蜗,2,EnemySystem,L09,,S1-M01-08,沿路留下短时热区,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n04,content.s1-n04,R01
S1-A05,active,烬流扇,2,WeaponSystem,L14,,S1-M01-08,扇面热浪；控制接敌方向,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a05,content.s1-a05,R01
S1-P05,passive,回息法,2,SkillDraftSystem,L15,,S1-M01-08,技能冷却,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p05,content.s1-p05,R01
S1-N05,normal_enemy,灰翼蝠,2,EnemySystem,L09,,S1-M01-08,成排飞掠后折返,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n05,content.s1-n05,R01
S1-A06,active,炭雨灯,2,WeaponSystem,L14,,S1-M01-08,周期散射火星；持续封路,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a06,content.s1-a06,R01
S1-P06,passive,留火术,2,SkillDraftSystem,L15,,S1-M01-08,地带持续时间,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p06,content.s1-p06,R01
S1-N06,normal_enemy,熔壳蛹,2,EnemySystem,L09,,S1-M01-08,预警后破壳冲击,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n06,content.s1-n06,R01
S1-E02,elite,熔脊行者,2,Elite Enemies,L19,,S1-M01-08,开闭散热甲与喷口联动,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-e02,content.s1-e02,R01
S1-B02,boss,炉心巨傀,2,BossStateMachine,L18,,S1-M02-07,炉门弱点与地热喷发,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-b02,content.s1-b02,R01
S1-M02-01,mission,穿过灰翼群,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-01;S1-O-SURVIVE;S1-M01-08,S1-M01-08,横向飞掠迫使改变走位节奏,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-01,R01
S1-M02-02,mission,关闭三座喷口,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-01;S1-O-BREAK;S1-M02-01,S1-M02-01,攻击锚点时避开轮替喷发,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-02,R01
S1-M02-03,mission,护送冷却匣,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-01;S1-O-ESCORT;S1-M02-02,S1-M02-02,把缓行冷却装置带过热带,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-03,R01
S1-M02-04,mission,截住背炉首领,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-01;S1-O-HUNT;S1-M02-03,S1-M02-03,追击留下热区的目标并选择切线,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-04,R01
S1-M02-05,mission,洗净炉灰,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-02;S1-O-CLEANSE;S1-M02-04,S1-M02-04,净化区之间有喷口轮替,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-05,R01
S1-M02-06,mission,撤出炉工,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-02;S1-O-ESCORT;S1-M02-05,S1-M02-05,双阶段护送，中途可停靠安全点,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-06,R01
S1-M02-07,mission,切断燃芯管,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-02;S1-O-BREAK;S1-M02-06,S1-M02-06,破坏顺序改变剩余喷口节奏,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-07,R01
S1-M02-08,mission,炉心巨傀,2,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S02-02;S1-O-BOSS;S1-M02-07;S1-B02,S1-M02-07,炉门开启窗口输出，关闭时处理热区,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m02-08,R01
S1-R03,region,沉潮,3,Stage & Map,L06,,S1-M02-08,涨落潮显露不同安全通路,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-r03,content.s1-r03,R01
S1-S03-01,scene,浅滩旧港,3,Stage & Map,L06,S1-R03,S1-M02-08,涨落潮显露不同安全通路,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s03-01,content.s1-s03-01,R01
S1-S03-02,scene,潮底石庭,3,Stage & Map,L06,S1-R03,S1-M02-08,涨落潮显露不同安全通路,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s03-02,content.s1-s03-02,R01
S1-CH03,chapter,第3章·沉潮,3,Campaign Flow,ST-S01,,S1-M02-08,打通水路，取得输送船队账册,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-ch03,R01
S1-C03,character,环刃卫,3,Character Loadout,ST-S03,S1-A07,S1-M02-08,擦身防御给环刃充能；远程追击弱，偏近身反击,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-c03,content.s1-c03,R01
S1-A07,active,回环刃,3,WeaponSystem,L14,,S1-M02-08,近身环绕并击退,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a07,content.s1-a07,R01
S1-P07,passive,护环经,3,SkillDraftSystem,L15,,S1-M02-08,近身减伤窗口,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p07,content.s1-p07,R01
S1-N07,normal_enemy,潮甲蟹,3,EnemySystem,L09,,S1-M02-08,侧行拦截狭路,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n07,content.s1-n07,R01
S1-A08,active,潮音铃,3,WeaponSystem,L14,,S1-M02-08,向外扩张声波；补足环绕盲区,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a08,content.s1-a08,R01
S1-P08,passive,扩音诀,3,SkillDraftSystem,L15,,S1-M02-08,波形半径,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p08,content.s1-p08,R01
S1-N08,normal_enemy,汲水灵,3,EnemySystem,L09,,S1-M02-08,蓄水直线喷流,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n08,content.s1-n08,R01
S1-A09,active,断浪枪,3,WeaponSystem,L14,,S1-M02-08,远距窄线突刺；面对齐线敌群,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a09,content.s1-a09,R01
S1-P09,passive,凝线谱,3,SkillDraftSystem,L15,,S1-M02-08,窄线伤害集中,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p09,content.s1-p09,R01
S1-N09,normal_enemy,潜鳍兽,3,EnemySystem,L09,,S1-M02-08,地面预告后跃出,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n09,content.s1-n09,R01
S1-E03,elite,覆潮祭卫,3,Elite Enemies,L19,,S1-M02-08,周期涨水并露出中断窗口,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-e03,content.s1-e03,R01
S1-B03,boss,沉潮双鳍,3,BossStateMachine,L18,,S1-M03-07,潮汐换路与交错冲击,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-b03,content.s1-b03,R01
S1-M03-01,mission,守住涨潮口,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-01;S1-O-SURVIVE;S1-M02-08,S1-M02-08,涨潮期间更换安全滩,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-01,R01
S1-M03-02,mission,夺回船队账册,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-01;S1-O-HUNT;S1-M03-01,S1-M03-01,追猎携物目标，不让护卫挡住路线,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-02,R01
S1-M03-03,mission,护送渡船,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-01;S1-O-ESCORT;S1-M03-02,S1-M03-02,随短航线移动，处理侧行拦路敌,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-03,R01
S1-M03-04,mission,净化旧港,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-01;S1-O-CLEANSE;S1-M03-03,S1-M03-03,退潮开放额外净化位置,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-04,R01
S1-M03-05,mission,拆除水闸印,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-02;S1-O-BREAK;S1-M03-04,S1-M03-04,闸印影响不同水流方向,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-05,R01
S1-M03-06,mission,穿越潜鳍群,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-02;S1-O-SURVIVE;S1-M03-05,S1-M03-05,地面跃出预警与喷流混合,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-06,R01
S1-M03-07,mission,追击深庭祭卫,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-02;S1-O-HUNT;S1-M03-06,S1-M03-06,打断蓄水并抢占退路,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-07,R01
S1-M03-08,mission,沉潮双鳍,3,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S03-02;S1-O-BOSS;S1-M03-07;S1-B03,S1-M03-07,两侧潮流交替，保留明确穿越窗口,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m03-08,R01
S1-R04,region,铜陵,4,Stage & Map,L06,,S1-M03-08,反射板改变敌方弹道与视线,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-r04,content.s1-r04,R01
S1-S04-01,scene,折镜甬道,4,Stage & Map,L06,S1-R04,S1-M03-08,反射板改变敌方弹道与视线,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s04-01,content.s1-s04-01,R01
S1-S04-02,scene,机核运台,4,Stage & Map,L06,S1-R04,S1-M03-08,反射板改变敌方弹道与视线,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-s04-02,content.s1-s04-02,R01
S1-CH04,chapter,第4章·铜陵,4,Campaign Flow,ST-S01,,S1-M03-08,夺回维护权限，证实装置正抽取生机,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-ch04,R01
S1-C04,character,机巧师,4,Character Loadout,ST-S03,S1-A10,S1-M03-08,可维持额外轻型构造物但部署需时间，偏据点预布置,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-c04,content.s1-c04,R01
S1-A10,active,机关弩台,4,WeaponSystem,L14,,S1-M03-08,固定短驻召唤；走位引怪进入火线,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a10,content.s1-a10,R01
S1-P10,passive,布机图,4,SkillDraftSystem,L15,,S1-M03-08,构造物部署速度,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p10,content.s1-p10,R01
S1-N10,normal_enemy,镜棱偶,4,EnemySystem,L09,,S1-M03-08,举盾反弹正面投射物,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n10,content.s1-n10,R01
S1-A11,active,游蜂匣,4,WeaponSystem,L14,,S1-M03-08,移动蜂群追击；偏单体,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a11,content.s1-a11,R01
S1-P11,passive,引蜂诀,4,SkillDraftSystem,L15,,S1-M03-08,召唤索敌距离,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p11,content.s1-p11,R01
S1-N11,normal_enemy,铆钉机,4,EnemySystem,L09,,S1-M03-08,扇形齐射后换位,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n11,content.s1-n11,R01
S1-A12,active,震地偶,4,WeaponSystem,L14,,S1-M03-08,近身构造物震荡；低频高控制,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-a12,content.s1-a12,R01
S1-P12,passive,稳基法,4,SkillDraftSystem,L15,,S1-M03-08,召唤驻留时间,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-p12,content.s1-p12,R01
S1-N12,normal_enemy,游轴球,4,EnemySystem,L09,,S1-M03-08,弹跳碰壁式追踪，实际边界由场景规则定义,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-n12,content.s1-n12,R01
S1-E04,elite,双镜司械,4,Elite Enemies,L19,,S1-M03-08,两面镜盾交替保护弱侧,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-e04,content.s1-e04,R01
S1-B04,boss,千镜司枢,4,BossStateMachine,L18,,S1-M04-07,镜阵反射与本体暴露,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-b04,content.s1-b04,R01
S1-M04-01,mission,关闭折镜节点,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-01;S1-O-BREAK;S1-M03-08,S1-M03-08,先观察反射角度再切入,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-01,R01
S1-M04-02,mission,护送维修偶,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-01;S1-O-ESCORT;S1-M04-01,S1-M04-01,把修复目标带过弹幕交叉点,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-02,R01
S1-M04-03,mission,截获巡检机,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-01;S1-O-HUNT;S1-M04-02,S1-M04-02,利用弱侧打断逃离,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-03,R01
S1-M04-04,mission,净化镜尘,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-01;S1-O-CLEANSE;S1-M04-03,S1-M04-03,净化后减少局部反射干扰,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-04,R01
S1-M04-05,mission,守住机核运台,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-02;S1-O-SURVIVE;S1-M04-04,S1-M04-04,镜盾与扇射机首次协同,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-05,R01
S1-M04-06,mission,拆开权限锁,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-02;S1-O-BREAK;S1-M04-05,S1-M04-05,按取得的权限提示关闭节点,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-06,R01
S1-M04-07,mission,夺回核心钥匙,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-02;S1-O-HUNT;S1-M04-06,S1-M04-06,双镜精英交替露出弱侧,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-07,R01
S1-M04-08,mission,千镜司枢,4,Campaign Flow / Mission Objectives,ST-S01;ST-S02,S1-S04-02;S1-O-BOSS;S1-M04-07;S1-B04,S1-M04-07,破解镜阵暴露本体，不对全反射面硬打,PLANNED,NOT_IMPLEMENTED,USES_REFERENCES,USES_REFERENCES,NOT_RUN,,,content.s1-m04-08,R01
S1-R05,region,雪脊,5,Stage & Map,L06,,S1-M04-08,冰裂带预告路线崩断，强迫分段移动,PLANNED,NOT_IMPLEMENTED,NOT_STARTED,NOT_STARTED,NOT_RUN,,asset.s1-r05,content.s1-r05,R01
